PCPT,MAX_T,MIN_T,AVG_T,SMOKE,PM10,AQI,SO2,O3,City,DATE,AQI_BUCKET,,
0.96,87,76,81.5,0,9.9,19,8,34,Davis Island,6/30/2013,GOOD,,
0.19,88,73,80.5,0,24.6,19,3,31,Davis Island,7/2/2013,GOOD,,
0,87,76,81.5,0,22.7,19,2,22,Davis Island,7/11/2013,GOOD,,
0,91,74,82.5,0,19.7,19,2,44,Davis Island,7/15/2013,GOOD,,
0.3,92,72,82,0,19.5,19,2,62,Davis Island,7/17/2013,GOOD,,
0.02,88,74,81,0,23.3,19,10,48,Davis Island,7/18/2013,GOOD,,
0.12,90,76,83,0,17.5,19,5,56,Davis Island,8/2/2013,GOOD,,
0.58,77,63,70,0,7,19,6,26,Davis Island,11/2/2013,GOOD,,
0,76,60,68,0,22.2,19,8,28,Davis Island,11/3/2013,GOOD,,
0,83,66,74.5,0,17.3,19,3,27,Davis Island,11/5/2013,GOOD,,
0,86,70,78,0,18.7,19,5,32,Davis Island,11/6/2013,GOOD,,
0.16,74,69,71.5,0,32.6,19,4,23,Davis Island,11/16/2013,GOOD,,
0,83,60,71.5,0,24.4,19,8,57,Davis Island,12/20/2013,GOOD,,
0,69,60,64.5,0,21.4,19,5,36,Davis Island,12/30/2013,GOOD,,
0,77,59,68,0,27,19,1,83,Davis Island,2/1/2014,GOOD,,
0,79,65,72,0,16,19,1,44,Davis Island,2/3/2014,GOOD,,
0.01,71,52,61.5,0,13.5,19,4,40,Davis Island,2/6/2014,GOOD,,
0.03,77,69,73,0,10.8,19,3,47,Davis Island,2/21/2014,GOOD,,
0.01,88,71,79.5,0,23,19,2,24,Davis Island,5/30/2014,GOOD,,
0.17,90,76,83,0,20.3,19,2,36,Davis Island,7/13/2014,GOOD,,
0,91,78,84.5,0,28.8,19,12,37,Davis Island,8/12/2014,GOOD,,
0,89,72,80.5,0,30,19,9,51,Davis Island,10/12/2014,GOOD,,
0,85,65,75,0,8.3,19,2,23,Davis Island,10/28/2014,GOOD,,
0,74,54,64,0,19.7,19,6,44,Davis Island,11/21/2014,GOOD,,
0,79,63,71,0,25.1,19,3,38,Davis Island,12/27/2014,GOOD,,
0,77,64,70.5,0,21.1,19,2,33,Davis Island,12/29/2014,GOOD,,
0,66,45,55.5,0,13.5,19,6,41,Davis Island,1/10/2015,GOOD,,
0.02,93,74,83.5,1,11.5,19,12,52,Davis Island,6/12/2015,GOOD,,
0,90,73,81.5,0,13.3,19,3,34,Davis Island,9/14/2015,GOOD,,
1.68,87,75,81,0,7.9,19,0,44,Davis Island,9/27/2015,GOOD,,
0,87,71,79,0,12,19,1,37,Davis Island,10/25/2015,GOOD,,
